Mode,Page / Component,Vertical,Canonical input workbook,Canonical input tab,User-entered columns,Required format,Automated backend destination,Other consuming pages / components,Input ownership,Current new-UI runtime status,Required action
Landing,Control Tower / Operating board,All,Backend-derived,Action_Log + domain tables,None,Automatic,Action_Log; Enterprise_Demand; Living_Hourly; Essentials_Hourly; Finance_Daily,All Self Drive loop pages,System,STATIC constants in components/control-tower.tsx,Replace Control Tower constants with one live snapshot projection
Landing,Control Tower / Alarm queue,Governance,User Input,TEAM_REQ_ACTION_LOG; TEAM_REQ_APPROVAL_LOG; TEAM_REQ_INCIDENT_LOG,Governed action/approval/incident fields,IDs + ISO/DD-MM-YYYY dates per guide,Action_Log; Approval_Log; Incident_Log,Despatch; Your Sign-Off; domain recovery cards,Mixed,STATIC constants in components/control-tower.tsx,Project the canonical governance logs once and reuse
Landing,Control Tower / Enterprise funnel,Enterprise Demand,User Input + Bot,Fono Funnel; TEAM_SHRAMPARK_DEMAND,FONO report fields; no bot re-entry,Report columns + bot-owned mirror,Enterprise_Demand,Enterprise Demand; Living; Nia Growth,Mixed,STATIC funnel stages in components/control-tower.tsx,Derive stages from Enterprise_Demand certainty/status
Self Drive,Cash & Control / headline and controls,Finance,User Input,TEAM_FINANCE_DAILY,Finance actuals and governed targets,Currency INR + dates + IDs,Finance_Daily; Policy_Registry; Action_Log; Approval_Log,Nia Margins; Overview; Decision Room,User + system,SYNTHETIC preview built in app/page.tsx,Use buildLiveCashControlPreview from the shared live snapshot
Self Drive,Enterprise Demand / workspace,Enterprise Demand,User Input + Bot,Fono Funnel; Nia Demand Bot,FONO report only; bot data entered at source,Report schema + bot schema,Enterprise_Demand; Action_Log; Evidence_Log; Approval_Log,Control Tower; Living; Nia Growth; Despatch,Mixed,SYNTHETIC preview built in app/page.tsx,Use buildLiveEnterpriseDemandLoopPreview over canonical Enterprise_Demand rows
Self Drive,Member Adds / vacancy and fill,Living + Activation,User Input + Bot,Studios/TEAM_OCCUPANCY; TEAM_MEMBER_ACTIVATION,Activation Ready Nests plus verified manual activations,Whole Nests + governed IDs/dates,Living_Hourly; Member_Activation; Action_Log; Evidence_Log,Overview; Living; Nia Margins,User + system,SYNTHETIC preview built in app/page.tsx,Use buildLiveNewAddsPreview from the shared live snapshot
Self Drive,Member Engagement / retention and recovery,Member Feedback,User Input,TEAM_MEMBER_FEEDBACK,member token; score; feedback; collected at; reporting month; dimensions,Score 0-10 + YYYY-MM + date,Member_NPS_Dashboard; Member_NPS_Feedback; Member_NPS_Responses; Action_Log,Member NPS; Overview; Despatch,User once,SYNTHETIC preview built in app/page.tsx,Use buildLiveMemberEngagementPreview; show no-data when rows are absent
Self Drive,Member Savings / dual gate and service work,Essentials,Essentials Bot,Orders; Order_Items; Inventory_Master; Delivery_Status,None in User Input; enrich only governed bot fields,Bot schema numeric/currency/timestamps,Essentials_Hourly; Essentials_Inventory; Member_Activation; Action_Log,Essentials; Overview; Nia Margins,System/Bot,SYNTHETIC preview built in app/page.tsx,Use buildLiveMemberSavingsPreview from Essentials canonical rows
Self Drive,Nia Margins / contribution and recovery,Finance + Living + Work + Essentials,User Input + Bots,TEAM_FINANCE_DAILY; Studios; bot sources,Finance and occupancy once; bot actuals not repeated,INR + counts + dates,Finance_Daily; Living_Hourly; Work_Hourly; Essentials_Hourly; Action_Log,Overview; Cash & Control; domain workspaces,Mixed,SYNTHETIC NIA_MARGINS_SYNTHETIC_INPUTS,Use buildLiveMarginInputs then buildNiaMarginsPreview
Self Drive,Nia Growth / channel capacity,Enterprise Demand + Living,User Input + Bot,Fono Funnel; TEAM_NIA_GROWTH; Nia Demand Bot,FONO report + governed growth decisions only,Counts + dates + URLs + decisions,Enterprise_Demand; Studio_Master; Living_Hourly; governance logs,Control Tower; Enterprise Demand; Living,Mixed,SYNTHETIC preview built in app/page.tsx,Use buildLiveNiaGrowthPreview from shared snapshot
